Origin,Destination,Population,Cases2021,Incidence2021
Piscataquis County,Illinois,23,254,2.0
Sagadahoc County,Illinois,34,254,2.0
York County,Illinois,58,254,2.0
Anne Arundel County,Illinois,36,254,2.0
Baltimore County,Illinois,214,254,2.0
Calvert County,Illinois,44,254,2.0
Cecil County,Illinois,40,254,2.0
Charles County,Illinois,33,254,2.0
Frederick County,Illinois,206,254,2.0
Harford County,Illinois,71,254,2.0
Howard County,Illinois,327,254,2.0
Montgomery County,Illinois,661,254,2.0
Prince George's County,Illinois,415,254,2.0
St. Mary's County,Illinois,10,254,2.0
Talbot County,Illinois,32,254,2.0
Washington County,Illinois,27,254,2.0
Wicomico County,Illinois,23,254,2.0
Worcester County,Illinois,234,254,2.0
Baltimore City,Illinois,358,254,2.0
Barnstable County,Illinois,58,254,2.0
Berkshire County,Illinois,78,254,2.0
Bristol County,Illinois,25,254,2.0
Essex County,Illinois,103,254,2.0
Franklin County,Illinois,3,254,2.0
Hampden County,Illinois,61,254,2.0
Hampshire County,Illinois,174,254,2.0
Middlesex County,Illinois,1590,254,2.0
Norfolk County,Illinois,178,254,2.0
Suffolk County,Illinois,935,254,2.0
Worcester County,Illinois,183,254,2.0
Alcona County,Illinois,3,254,2.0
Allegan County,Illinois,271,254,2.0
Alpena County,Illinois,49,254,2.0
Antrim County,Illinois,27,254,2.0
Arenac County,Illinois,32,254,2.0
Baraga County,Illinois,11,254,2.0
Bay County,Illinois,10,254,2.0
Benzie County,Illinois,35,254,2.0
Berrien County,Illinois,596,254,2.0
Branch County,Illinois,41,254,2.0
Calhoun County,Illinois,107,254,2.0
Cass County,Illinois,581,254,2.0
Charlevoix County,Illinois,38,254,2.0
Cheboygan County,Illinois,15,254,2.0
Chippewa County,Illinois,3,254,2.0
Clare County,Illinois,2,254,2.0
Clinton County,Illinois,105,254,2.0
Delta County,Illinois,40,254,2.0
Dickinson County,Illinois,67,254,2.0
Eaton County,Illinois,312,254,2.0
Emmet County,Illinois,4,254,2.0
Genesee County,Illinois,58,254,2.0
Gogebic County,Illinois,9,254,2.0
Grand Traverse County,Illinois,131,254,2.0
Gratiot County,Illinois,23,254,2.0
Hillsdale County,Illinois,38,254,2.0
Houghton County,Illinois,93,254,2.0
Huron County,Illinois,14,254,2.0
Ingham County,Illinois,525,254,2.0
Iosco County,Illinois,25,254,2.0
Iron County,Illinois,68,254,2.0
Isabella County,Illinois,220,254,2.0
Jackson County,Illinois,113,254,2.0
Kalamazoo County,Illinois,897,254,2.0
Kalkaska County,Illinois,18,254,2.0
Kent County,Illinois,1037,254,2.0
Keweenaw County,Illinois,41,254,2.0
Leelanau County,Illinois,65,254,2.0
Lenawee County,Illinois,23,254,2.0
Livingston County,Illinois,165,254,2.0
Luce County,Illinois,89,254,2.0
Mackinac County,Illinois,11,254,2.0
Macomb County,Illinois,418,254,2.0
Manistee County,Illinois,46,254,2.0
Marquette County,Illinois,70,254,2.0
Mason County,Illinois,9,254,2.0
Mecosta County,Illinois,3,254,2.0
Menominee County,Illinois,8,254,2.0
Midland County,Illinois,59,254,2.0
Missaukee County,Illinois,13,254,2.0
Monroe County,Illinois,51,254,2.0
Muskegon County,Illinois,148,254,2.0
Oakland County,Illinois,1497,254,2.0
Oceana County,Illinois,58,254,2.0
Ogemaw County,Illinois,5,254,2.0
Ontonagon County,Illinois,1,254,2.0
Otsego County,Illinois,1,254,2.0
Ottawa County,Illinois,680,254,2.0
Presque Isle County,Illinois,3,254,2.0
Roscommon County,Illinois,13,254,2.0
Saginaw County,Illinois,308,254,2.0
St. Clair County,Illinois,15,254,2.0
St. Joseph County,Illinois,45,254,2.0
Shiawassee County,Illinois,9,254,2.0
Tuscola County,Illinois,8,254,2.0
Van Buren County,Illinois,353,254,2.0
Washtenaw County,Illinois,1674,254,2.0
Wayne County,Illinois,1181,254,2.0
Wexford County,Illinois,26,254,2.0
Aitkin County,Illinois,2,254,2.0
Anoka County,Illinois,394,254,2.0
Becker County,Illinois,3,254,2.0
Beltrami County,Illinois,44,254,2.0
Benton County,Illinois,130,254,2.0
Blue Earth County,Illinois,66,254,2.0
Carlton County,Illinois,20,254,2.0
Carver County,Illinois,146,254,2.0
Cass County,Illinois,73,254,2.0
Chisago County,Illinois,23,254,2.0
Clay County,Illinois,46,254,2.0
Crow Wing County,Illinois,30,254,2.0
Dakota County,Illinois,345,254,2.0
Dodge County,Illinois,4,254,2.0
Faribault County,Illinois,8,254,2.0
Fillmore County,Illinois,20,254,2.0
Goodhue County,Illinois,31,254,2.0
Hennepin County,Illinois,3117,254,2.0
Houston County,Illinois,1,254,2.0
Isanti County,Illinois,10,254,2.0
Itasca County,Illinois,12,254,2.0
Kanabec County,Illinois,4,254,2.0
Kandiyohi County,Illinois,6,254,2.0
Lake of the Woods County,Illinois,1,254,2.0
Le Sueur County,Illinois,20,254,2.0
Lincoln County,Illinois,3,254,2.0
Lyon County,Illinois,7,254,2.0
Martin County,Illinois,4,254,2.0
Mille Lacs County,Illinois,7,254,2.0
Mower County,Illinois,36,254,2.0
Murray County,Illinois,2,254,2.0
Nicollet County,Illinois,8,254,2.0
Olmsted County,Illinois,269,254,2.0
Otter Tail County,Illinois,11,254,2.0
Pine County,Illinois,8,254,2.0
Ramsey County,Illinois,1029,254,2.0
Rice County,Illinois,270,254,2.0
St. Louis County,Illinois,330,254,2.0
Scott County,Illinois,3,254,2.0
Sherburne County,Illinois,35,254,2.0
Stearns County,Illinois,112,254,2.0
Steele County,Illinois,80,254,2.0
Stevens County,Illinois,5,254,2.0
Todd County,Illinois,7,254,2.0
Wabasha County,Illinois,1,254,2.0
Washington County,Illinois,133,254,2.0
Winona County,Illinois,81,254,2.0
Wright County,Illinois,17,254,2.0
Yellow Medicine County,Illinois,12,254,2.0
Alcorn County,Illinois,4,254,2.0
Benton County,Illinois,42,254,2.0
Claiborne County,Illinois,11,254,2.0
Coahoma County,Illinois,71,254,2.0
Copiah County,Illinois,9,254,2.0
DeSoto County,Illinois,44,254,2.0
Forrest County,Illinois,12,254,2.0
Franklin County,Illinois,2,254,2.0
George County,Illinois,10,254,2.0
Harrison County,Illinois,706,254,2.0
Hinds County,Illinois,321,254,2.0
Kemper County,Illinois,9,254,2.0
Lafayette County,Illinois,102,254,2.0
Lamar County,Illinois,13,254,2.0
Lauderdale County,Illinois,121,254,2.0
Lawrence County,Illinois,23,254,2.0
Leake County,Illinois,6,254,2.0
Leflore County,Illinois,33,254,2.0
Lowndes County,Illinois,21,254,2.0
Madison County,Illinois,117,254,2.0
Marion County,Illinois,30,254,2.0
Marshall County,Illinois,23,254,2.0
Neshoba County,Illinois,87,254,2.0
Newton County,Illinois,32,254,2.0
Oktibbeha County,Illinois,95,254,2.0
Perry County,Illinois,1,254,2.0
Pike County,Illinois,4,254,2.0
Pontotoc County,Illinois,4,254,2.0
Prentiss County,Illinois,5,254,2.0
Quitman County,Illinois,12,254,2.0
Rankin County,Illinois,283,254,2.0
Sunflower County,Illinois,29,254,2.0
Tippah County,Illinois,5,254,2.0
Tunica County,Illinois,2,254,2.0
Walthall County,Illinois,1,254,2.0
Warren County,Illinois,15,254,2.0
Washington County,Illinois,58,254,2.0
Webster County,Illinois,32,254,2.0
Adair County,Illinois,194,254,2.0
Audrain County,Illinois,154,254,2.0
Barry County,Illinois,8,254,2.0
Benton County,Illinois,96,254,2.0
Bollinger County,Illinois,8,254,2.0
Boone County,Illinois,1179,254,2.0
Buchanan County,Illinois,36,254,2.0
Butler County,Illinois,28,254,2.0
Caldwell County,Illinois,1,254,2.0
Callaway County,Illinois,57,254,2.0
Camden County,Illinois,261,254,2.0
Cape Girardeau County,Illinois,635,254,2.0
Carroll County,Illinois,43,254,2.0
Carter County,Illinois,18,254,2.0
Cass County,Illinois,46,254,2.0
Cedar County,Illinois,29,254,2.0
Chariton County,Illinois,1,254,2.0
Christian County,Illinois,132,254,2.0
Clay County,Illinois,264,254,2.0
Clinton County,Illinois,36,254,2.0
Cole County,Illinois,239,254,2.0
Cooper County,Illinois,104,254,2.0
Crawford County,Illinois,45,254,2.0
Dade County,Illinois,10,254,2.0
Dallas County,Illinois,14,254,2.0
Daviess County,Illinois,6,254,2.0
Dent County,Illinois,17,254,2.0
Douglas County,Illinois,4,254,2.0
Dunklin County,Illinois,16,254,2.0
Franklin County,Illinois,385,254,2.0
Gasconade County,Illinois,73,254,2.0
Gentry County,Illinois,7,254,2.0
Greene County,Illinois,621,254,2.0
Holt County,Illinois,11,254,2.0
Howell County,Illinois,4,254,2.0
Iron County,Illinois,72,254,2.0
Jackson County,Illinois,877,254,2.0
Jasper County,Illinois,82,254,2.0
Jefferson County,Illinois,690,254,2.0
Johnson County,Illinois,70,254,2.0
Knox County,Illinois,18,254,2.0
Laclede County,Illinois,8,254,2.0
Lafayette County,Illinois,38,254,2.0
Lawrence County,Illinois,89,254,2.0
Lewis County,Illinois,254,254,2.0
Lincoln County,Illinois,75,254,2.0
Livingston County,Illinois,18,254,2.0
McDonald County,Illinois,4,254,2.0
Macon County,Illinois,16,254,2.0
Madison County,Illinois,2,254,2.0
Maries County,Illinois,5,254,2.0
Marion County,Illinois,426,254,2.0
Miller County,Illinois,12,254,2.0
Mississippi County,Illinois,14,254,2.0
Moniteau County,Illinois,8,254,2.0
Monroe County,Illinois,4,254,2.0
Montgomery County,Illinois,32,254,2.0
Morgan County,Illinois,6,254,2.0
Newton County,Illinois,5,254,2.0
Nodaway County,Illinois,51,254,2.0
Oregon County,Illinois,13,254,2.0
Osage County,Illinois,20,254,2.0
Ozark County,Illinois,14,254,2.0
Pemiscot County,Illinois,1,254,2.0
Perry County,Illinois,95,254,2.0
Phelps County,Illinois,236,254,2.0
Pike County,Illinois,59,254,2.0
Platte County,Illinois,83,254,2.0
Polk County,Illinois,35,254,2.0
Pulaski County,Illinois,255,254,2.0
Putnam County,Illinois,2,254,2.0
Ralls County,Illinois,23,254,2.0
Randolph County,Illinois,75,254,2.0
Ray County,Illinois,6,254,2.0
Reynolds County,Illinois,10,254,2.0
Ripley County,Illinois,3,254,2.0
St. Charles County,Illinois,1794,254,2.0
Ste. Genevieve County,Illinois,192,254,2.0
St. Francois County,Illinois,65,254,2.0
St. Louis County,Illinois,5571,254,2.0
Saline County,Illinois,32,254,2.0
Scotland County,Illinois,72,254,2.0
Scott County,Illinois,121,254,2.0
Shelby County,Illinois,18,254,2.0
Stoddard County,Illinois,147,254,2.0
Stone County,Illinois,33,254,2.0
Sullivan County,Illinois,8,254,2.0
Taney County,Illinois,107,254,2.0
Texas County,Illinois,266,254,2.0
Vernon County,Illinois,15,254,2.0
Warren County,Illinois,308,254,2.0
Washington County,Illinois,19,254,2.0
Wayne County,Illinois,69,254,2.0
Webster County,Illinois,16,254,2.0
St. Louis City,Illinois,3992,254,2.0
Beaverhead County,Illinois,1,254,2.0
Cascade County,Illinois,58,254,2.0
Flathead County,Illinois,132,254,2.0
Gallatin County,Illinois,162,254,2.0
Lewis and Clark County,Illinois,52,254,2.0
Madison County,Illinois,11,254,2.0
Missoula County,Illinois,205,254,2.0
Park County,Illinois,35,254,2.0
Pondera County,Illinois,33,254,2.0
Ravalli County,Illinois,84,254,2.0
Roosevelt County,Illinois,6,254,2.0
Sheridan County,Illinois,6,254,2.0
Toole County,Illinois,42,254,2.0
Yellowstone County,Illinois,92,254,2.0
Buffalo County,Illinois,7,254,2.0
Cass County,Illinois,86,254,2.0
Cedar County,Illinois,1,254,2.0
Clay County,Illinois,4,254,2.0
Dawes County,Illinois,1,254,2.0
Dodge County,Illinois,26,254,2.0
Douglas County,Illinois,572,254,2.0
Gage County,Illinois,4,254,2.0
Garden County,Illinois,9,254,2.0
Johnson County,Illinois,7,254,2.0
Keith County,Illinois,1,254,2.0
Lancaster County,Illinois,335,254,2.0
Lincoln County,Illinois,3,254,2.0
Madison County,Illinois,9,254,2.0
Merrick County,Illinois,11,254,2.0
Nuckolls County,Illinois,1,254,2.0
Platte County,Illinois,1,254,2.0
Sarpy County,Illinois,220,254,2.0
Scotts Bluff County,Illinois,6,254,2.0
Seward County,Illinois,36,254,2.0
Thurston County,Illinois,1,254,2.0
Valley County,Illinois,2,254,2.0
Churchill County,Illinois,9,254,2.0
Clark County,Illinois,3269,254,2.0
Lander County,Illinois,19,254,2.0
Nye County,Illinois,3,254,2.0
Washoe County,Illinois,203,254,2.0
White Pine County,Illinois,11,254,2.0
Carson City,Illinois,17,254,2.0
Belknap County,Illinois,92,254,2.0
Cheshire County,Illinois,1,254,2.0
Grafton County,Illinois,145,254,2.0
Hillsborough County,Illinois,221,254,2.0
Merrimack County,Illinois,21,254,2.0
Strafford County,Illinois,9,254,2.0
Atlantic County,Illinois,59,254,2.0
Bergen County,Illinois,79,254,2.0
Burlington County,Illinois,91,254,2.0
Camden County,Illinois,96,254,2.0
Cape May County,Illinois,9,254,2.0
Cumberland County,Illinois,38,254,2.0
Essex County,Illinois,296,254,2.0
Gloucester County,Illinois,21,254,2.0
Hudson County,Illinois,157,254,2.0
Mercer County,Illinois,235,254,2.0
Middlesex County,Illinois,212,254,2.0
Morris County,Illinois,154,254,2.0
Passaic County,Illinois,40,254,2.0
Somerset County,Illinois,99,254,2.0
Union County,Illinois,85,254,2.0
Warren County,Illinois,42,254,2.0
Bernalillo County,Illinois,433,254,2.0
Chaves County,Illinois,22,254,2.0
Curry County,Illinois,27,254,2.0
Doa Ana County,Illinois,118,254,2.0
Grant County,Illinois,10,254,2.0
Luna County,Illinois,98,254,2.0
Otero County,Illinois,63,254,2.0
Quay County,Illinois,3,254,2.0
Rio Arriba County,Illinois,4,254,2.0
Roosevelt County,Illinois,7,254,2.0
Sandoval County,Illinois,69,254,2.0
San Juan County,Illinois,9,254,2.0
San Miguel County,Illinois,21,254,2.0
Santa Fe County,Illinois,112,254,2.0
Taos County,Illinois,85,254,2.0
Albany County,Illinois,44,254,2.0
Bronx County,Illinois,52,254,2.0
Chemung County,Illinois,17,254,2.0
Dutchess County,Illinois,38,254,2.0
Erie County,Illinois,65,254,2.0
Greene County,Illinois,11,254,2.0
Jefferson County,Illinois,103,254,2.0
Kings County,Illinois,1260,254,2.0
Madison County,Illinois,58,254,2.0
Monroe County,Illinois,266,254,2.0
Nassau County,Illinois,84,254,2.0
New York County,Illinois,2313,254,2.0
Niagara County,Illinois,61,254,2.0
Oneida County,Illinois,33,254,2.0
Onondaga County,Illinois,193,254,2.0
Ontario County,Illinois,7,254,2.0
Orange County,Illinois,81,254,2.0
Oswego County,Illinois,48,254,2.0
Otsego County,Illinois,5,254,2.0
Queens County,Illinois,791,254,2.0
Rensselaer County,Illinois,63,254,2.0
Rockland County,Illinois,19,254,2.0
Saratoga County,Illinois,33,254,2.0
Schenectady County,Illinois,19,254,2.0
Steuben County,Illinois,5,254,2.0
Suffolk County,Illinois,155,254,2.0
Tioga County,Illinois,24,254,2.0
Tompkins County,Illinois,539,254,2.0
Ulster County,Illinois,12,254,2.0
Westchester County,Illinois,203,254,2.0
Wyoming County,Illinois,7,254,2.0
Alamance County,Illinois,44,254,2.0
Beaufort County,Illinois,32,254,2.0
Brunswick County,Illinois,140,254,2.0
Buncombe County,Illinois,842,254,2.0
Burke County,Illinois,40,254,2.0
Cabarrus County,Illinois,119,254,2.0
Caldwell County,Illinois,55,254,2.0
Camden County,Illinois,46,254,2.0
Caswell County,Illinois,8,254,2.0
Catawba County,Illinois,123,254,2.0
Chatham County,Illinois,175,254,2.0
Cherokee County,Illinois,8,254,2.0
Columbus County,Illinois,7,254,2.0
Craven County,Illinois,116,254,2.0
Cumberland County,Illinois,438,254,2.0
Davidson County,Illinois,40,254,2.0
Durham County,Illinois,394,254,2.0
Forsyth County,Illinois,134,254,2.0
Franklin County,Illinois,11,254,2.0
Gaston County,Illinois,52,254,2.0
Gates County,Illinois,33,254,2.0
Granville County,Illinois,79,254,2.0
Guilford County,Illinois,141,254,2.0
Harnett County,Illinois,69,254,2.0
Hoke County,Illinois,22,254,2.0
Iredell County,Illinois,290,254,2.0
Johnston County,Illinois,51,254,2.0
Jones County,Illinois,20,254,2.0
Mecklenburg County,Illinois,1197,254,2.0
Moore County,Illinois,180,254,2.0
Nash County,Illinois,1,254,2.0
New Hanover County,Illinois,22,254,2.0
Onslow County,Illinois,341,254,2.0
Orange County,Illinois,213,254,2.0
Pender County,Illinois,55,254,2.0
Pitt County,Illinois,72,254,2.0
Randolph County,Illinois,15,254,2.0
Robeson County,Illinois,44,254,2.0
Rutherford County,Illinois,105,254,2.0
Stanly County,Illinois,25,254,2.0
Surry County,Illinois,138,254,2.0
Union County,Illinois,193,254,2.0
Vance County,Illinois,9,254,2.0
Wake County,Illinois,880,254,2.0
Warren County,Illinois,21,254,2.0
Wayne County,Illinois,135,254,2.0
Barnes County,Illinois,3,254,2.0
Bottineau County,Illinois,34,254,2.0
Burleigh County,Illinois,10,254,2.0
Cass County,Illinois,158,254,2.0
Grand Forks County,Illinois,53,254,2.0
Kidder County,Illinois,5,254,2.0
LaMoure County,Illinois,2,254,2.0
Morton County,Illinois,1,254,2.0
Ramsey County,Illinois,3,254,2.0
Ransom County,Illinois,21,254,2.0
Sioux County,Illinois,1,254,2.0
Stark County,Illinois,10,254,2.0
Towner County,Illinois,3,254,2.0
Ward County,Illinois,69,254,2.0
Allen County,Illinois,94,254,2.0
Athens County,Illinois,101,254,2.0
Auglaize County,Illinois,9,254,2.0
Butler County,Illinois,572,254,2.0
Clark County,Illinois,34,254,2.0
Clermont County,Illinois,294,254,2.0
Clinton County,Illinois,64,254,2.0
Columbiana County,Illinois,39,254,2.0
Coshocton County,Illinois,10,254,2.0
Cuyahoga County,Illinois,1212,254,2.0
Defiance County,Illinois,84,254,2.0
Delaware County,Illinois,380,254,2.0
Erie County,Illinois,4,254,2.0
Fairfield County,Illinois,61,254,2.0
Franklin County,Illinois,1866,254,2.0
Gallia County,Illinois,5,254,2.0
Geauga County,Illinois,23,254,2.0
Greene County,Illinois,311,254,2.0
Hamilton County,Illinois,976,254,2.0
Hancock County,Illinois,59,254,2.0
Hardin County,Illinois,33,254,2.0
Henry County,Illinois,8,254,2.0
Holmes County,Illinois,134,254,2.0
Jefferson County,Illinois,7,254,2.0
Knox County,Illinois,33,254,2.0
Lake County,Illinois,52,254,2.0
Licking County,Illinois,121,254,2.0
Logan County,Illinois,25,254,2.0
Lorain County,Illinois,93,254,2.0
Lucas County,Illinois,349,254,2.0
Mahoning County,Illinois,69,254,2.0
Medina County,Illinois,49,254,2.0
Meigs County,Illinois,14,254,2.0
Mercer County,Illinois,1,254,2.0
Miami County,Illinois,40,254,2.0
Montgomery County,Illinois,809,254,2.0
Muskingum County,Illinois,6,254,2.0
Pickaway County,Illinois,37,254,2.0
Pike County,Illinois,1,254,2.0
Portage County,Illinois,116,254,2.0
Richland County,Illinois,40,254,2.0
Ross County,Illinois,5,254,2.0
Sandusky County,Illinois,34,254,2.0
Seneca County,Illinois,8,254,2.0
Stark County,Illinois,44,254,2.0
Summit County,Illinois,242,254,2.0
Tuscarawas County,Illinois,12,254,2.0
Warren County,Illinois,315,254,2.0
Washington County,Illinois,70,254,2.0
Wayne County,Illinois,83,254,2.0
Williams County,Illinois,12,254,2.0
Wood County,Illinois,262,254,2.0
Wyandot County,Illinois,12,254,2.0
Atoka County,Illinois,8,254,2.0
Beckham County,Illinois,7,254,2.0
Blaine County,Illinois,5,254,2.0
Canadian County,Illinois,95,254,2.0
Carter County,Illinois,46,254,2.0
Cherokee County,Illinois,25,254,2.0
Choctaw County,Illinois,46,254,2.0
Cleveland County,Illinois,146,254,2.0
Comanche County,Illinois,329,254,2.0
Delaware County,Illinois,14,254,2.0
Garfield County,Illinois,18,254,2.0
Grady County,Illinois,144,254,2.0
Greer County,Illinois,50,254,2.0
Jackson County,Illinois,12,254,2.0
Johnston County,Illinois,4,254,2.0
Logan County,Illinois,15,254,2.0
Murray County,Illinois,5,254,2.0
Nowata County,Illinois,5,254,2.0
Oklahoma County,Illinois,441,254,2.0
Okmulgee County,Illinois,2,254,2.0
Ottawa County,Illinois,24,254,2.0
Payne County,Illinois,111,254,2.0
Pittsburg County,Illinois,22,254,2.0
Pontotoc County,Illinois,76,254,2.0
Pottawatomie County,Illinois,12,254,2.0
Pushmataha County,Illinois,10,254,2.0
Rogers County,Illinois,12,254,2.0
Sequoyah County,Illinois,3,254,2.0
Tulsa County,Illinois,659,254,2.0
Benton County,Illinois,90,254,2.0
Clackamas County,Illinois,73,254,2.0
Clatsop County,Illinois,49,254,2.0
Curry County,Illinois,62,254,2.0
Deschutes County,Illinois,225,254,2.0
Douglas County,Illinois,5,254,2.0
Hood River County,Illinois,20,254,2.0
Jackson County,Illinois,157,254,2.0
Jefferson County,Illinois,108,254,2.0
Josephine County,Illinois,156,254,2.0
Lane County,Illinois,563,254,2.0
Lincoln County,Illinois,9,254,2.0
Linn County,Illinois,20,254,2.0
Marion County,Illinois,47,254,2.0
Multnomah County,Illinois,443,254,2.0
Tillamook County,Illinois,9,254,2.0
Umatilla County,Illinois,11,254,2.0
Union County,Illinois,9,254,2.0
Washington County,Illinois,350,254,2.0
Yamhill County,Illinois,27,254,2.0
Adams County,Illinois,67,254,2.0
Allegheny County,Illinois,1159,254,2.0
Armstrong County,Illinois,2,254,2.0
Beaver County,Illinois,26,254,2.0
Berks County,Illinois,94,254,2.0
Blair County,Illinois,8,254,2.0
Bucks County,Illinois,32,254,2.0
Butler County,Illinois,7,254,2.0
Cambria County,Illinois,1,254,2.0
Centre County,Illinois,128,254,2.0
Chester County,Illinois,311,254,2.0
Clarion County,Illinois,10,254,2.0
Clearfield County,Illinois,10,254,2.0
Crawford County,Illinois,25,254,2.0
Cumberland County,Illinois,57,254,2.0
Dauphin County,Illinois,81,254,2.0
Delaware County,Illinois,96,254,2.0
Erie County,Illinois,31,254,2.0
Fayette County,Illinois,11,254,2.0
Franklin County,Illinois,50,254,2.0
Jefferson County,Illinois,64,254,2.0
Lackawanna County,Illinois,96,254,2.0
Lancaster County,Illinois,128,254,2.0
Lawrence County,Illinois,7,254,2.0
Lehigh County,Illinois,22,254,2.0
Lycoming County,Illinois,9,254,2.0
Mercer County,Illinois,12,254,2.0
Montgomery County,Illinois,594,254,2.0
Montour County,Illinois,15,254,2.0
Northampton County,Illinois,52,254,2.0
Philadelphia County,Illinois,697,254,2.0
Pike County,Illinois,17,254,2.0
Schuylkill County,Illinois,44,254,2.0
Snyder County,Illinois,12,254,2.0
Somerset County,Illinois,3,254,2.0
Susquehanna County,Illinois,3,254,2.0
Tioga County,Illinois,12,254,2.0
Venango County,Illinois,5,254,2.0
Washington County,Illinois,152,254,2.0
Wayne County,Illinois,27,254,2.0
Wyoming County,Illinois,11,254,2.0
York County,Illinois,275,254,2.0
Bristol County,Illinois,104,254,2.0
Kent County,Illinois,18,254,2.0
Newport County,Illinois,96,254,2.0
Providence County,Illinois,204,254,2.0
Washington County,Illinois,22,254,2.0
Aiken County,Illinois,123,254,2.0
Anderson County,Illinois,76,254,2.0
Beaufort County,Illinois,363,254,2.0
Berkeley County,Illinois,258,254,2.0
Charleston County,Illinois,451,254,2.0
Clarendon County,Illinois,15,254,2.0
Florence County,Illinois,67,254,2.0
Georgetown County,Illinois,80,254,2.0
Greenville County,Illinois,480,254,2.0
Greenwood County,Illinois,86,254,2.0
Horry County,Illinois,320,254,2.0
Kershaw County,Illinois,20,254,2.0
Lancaster County,Illinois,5,254,2.0
Lexington County,Illinois,347,254,2.0
Newberry County,Illinois,10,254,2.0
Oconee County,Illinois,66,254,2.0
Pickens County,Illinois,50,254,2.0
Richland County,Illinois,410,254,2.0
Spartanburg County,Illinois,121,254,2.0
Sumter County,Illinois,50,254,2.0
York County,Illinois,344,254,2.0
Beadle County,Illinois,7,254,2.0
Bon Homme County,Illinois,5,254,2.0
Brookings County,Illinois,13,254,2.0
Brown County,Illinois,19,254,2.0
Butte County,Illinois,64,254,2.0
Campbell County,Illinois,15,254,2.0
Charles Mix County,Illinois,4,254,2.0
Davison County,Illinois,20,254,2.0
Hamlin County,Illinois,5,254,2.0
Hughes County,Illinois,5,254,2.0
Lake County,Illinois,4,254,2.0
Lyman County,Illinois,4,254,2.0
Meade County,Illinois,47,254,2.0
Minnehaha County,Illinois,121,254,2.0
Pennington County,Illinois,133,254,2.0
Potter County,Illinois,8,254,2.0
Union County,Illinois,36,254,2.0
Walworth County,Illinois,4,254,2.0
Anderson County,Illinois,84,254,2.0
Bedford County,Illinois,16,254,2.0
Benton County,Illinois,46,254,2.0
Blount County,Illinois,138,254,2.0
Bradley County,Illinois,313,254,2.0
Campbell County,Illinois,41,254,2.0
Carroll County,Illinois,3,254,2.0
Carter County,Illinois,19,254,2.0
Cheatham County,Illinois,26,254,2.0
Claiborne County,Illinois,1,254,2.0
Cumberland County,Illinois,480,254,2.0
Davidson County,Illinois,1464,254,2.0
DeKalb County,Illinois,2,254,2.0
Dickson County,Illinois,9,254,2.0
Fayette County,Illinois,10,254,2.0
Franklin County,Illinois,88,254,2.0
Gibson County,Illinois,233,254,2.0
Grainger County,Illinois,30,254,2.0
Greene County,Illinois,87,254,2.0
Hamblen County,Illinois,18,254,2.0
Hamilton County,Illinois,521,254,2.0
Hardeman County,Illinois,7,254,2.0
Hardin County,Illinois,28,254,2.0
Haywood County,Illinois,95,254,2.0
Henry County,Illinois,247,254,2.0
Hickman County,Illinois,61,254,2.0
Houston County,Illinois,4,254,2.0
Humphreys County,Illinois,55,254,2.0
Jefferson County,Illinois,67,254,2.0
Johnson County,Illinois,2,254,2.0
Knox County,Illinois,969,254,2.0
Lauderdale County,Illinois,6,254,2.0
Lawrence County,Illinois,9,254,2.0
Lincoln County,Illinois,54,254,2.0
Loudon County,Illinois,53,254,2.0
McMinn County,Illinois,9,254,2.0
McNairy County,Illinois,144,254,2.0
Madison County,Illinois,84,254,2.0
Marshall County,Illinois,16,254,2.0
Maury County,Illinois,113,254,2.0
Monroe County,Illinois,1,254,2.0
Montgomery County,Illinois,494,254,2.0
Obion County,Illinois,6,254,2.0
Overton County,Illinois,50,254,2.0
Polk County,Illinois,28,254,2.0
Putnam County,Illinois,121,254,2.0
Rhea County,Illinois,6,254,2.0
Roane County,Illinois,112,254,2.0
Robertson County,Illinois,67,254,2.0
Rutherford County,Illinois,685,254,2.0
Sequatchie County,Illinois,47,254,2.0
Sevier County,Illinois,65,254,2.0
Shelby County,Illinois,1561,254,2.0
Stewart County,Illinois,105,254,2.0
Sullivan County,Illinois,64,254,2.0
Sumner County,Illinois,587,254,2.0
Tipton County,Illinois,16,254,2.0
Union County,Illinois,9,254,2.0
Washington County,Illinois,248,254,2.0
Wayne County,Illinois,2,254,2.0
Weakley County,Illinois,76,254,2.0
Williamson County,Illinois,912,254,2.0
Wilson County,Illinois,384,254,2.0
Aransas County,Illinois,22,254,2.0
Atascosa County,Illinois,22,254,2.0
Bastrop County,Illinois,244,254,2.0
Bell County,Illinois,446,254,2.0
Bexar County,Illinois,1477,254,2.0
Bowie County,Illinois,34,254,2.0
Brazoria County,Illinois,166,254,2.0
Brazos County,Illinois,170,254,2.0
Burnet County,Illinois,29,254,2.0
Caldwell County,Illinois,98,254,2.0
Cameron County,Illinois,204,254,2.0
Camp County,Illinois,22,254,2.0
Chambers County,Illinois,314,254,2.0
Cherokee County,Illinois,15,254,2.0
Clay County,Illinois,4,254,2.0
Collin County,Illinois,1526,254,2.0
Comal County,Illinois,232,254,2.0
Coryell County,Illinois,19,254,2.0
Dallas County,Illinois,2445,254,2.0
Denton County,Illinois,1720,254,2.0
Ellis County,Illinois,6,254,2.0
El Paso County,Illinois,402,254,2.0
Erath County,Illinois,19,254,2.0
Fannin County,Illinois,18,254,2.0
Fayette County,Illinois,13,254,2.0
Fort Bend County,Illinois,373,254,2.0
